player,org,agent,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
sScary,XIA,astra,250.3,1.53,80,157.3,0.88,0.44,0.12,0.06,23,24
NDG,NCG,astra,225.0,1.21,73,143.2,0.82,0.35,0.06,0.07,19,17
Moh,FAL,astra,223.6,1.20,75,144.0,0.79,0.34,0.09,0.08,31,12
chrollo,XPL,astra,222.2,1.26,72,136.4,0.82,0.39,0.10,0.08,22,19
JA,JA,astra,222.1,1.26,73,142.2,0.81,0.29,0.10,0.07,28,20
SHIN,S1,astra,220.2,1.21,77,143.2,0.80,0.29,0.08,0.07,41,32
SugarZ3ro,ZETA,astra,218.6,1.22,76,141.8,0.80,0.36,0.06,0.07,28,21
Hyzee,FCY,astra,217.4,1.30,79,143.1,0.78,0.31,0.09,0.06,27,15
ZK,TSM.A,astra,215.6,1.35,76,140.5,0.83,0.29,0.07,0.04,38,14
LaAw,OG,astra,210.6,1.14,74,136.0,0.74,0.32,0.06,0.04,30,18
skillZ,GES,astra,209.9,1.11,72,130.7,0.76,0.37,0.08,0.06,23,11
LuoK1ng,KONE,astra,209.3,1.18,74,137.0,0.77,0.33,0.08,0.09,27,15
gabi,gabi,astra,209.1,1.27,81,135.6,0.71,0.50,0.06,0.05,28,36
jEEE,NS,astra,207.9,1.00,74,138.1,0.73,0.31,0.09,0.10,26,17
Sylvan,WGS,astra,207.7,1.07,71,140.4,0.72,0.28,0.06,0.06,31,13
cxyy,WBG,astra,203.8,0.95,69,143.0,0.72,0.32,0.09,0.09,32,21
tehbotoL,BME,astra,202.3,1.18,78,131.7,0.73,0.36,0.04,0.04,26,24
oreopheliaa,oreopheliaa,astra,199.4,1.23,73,125.6,0.72,0.32,0.06,0.05,17,12
Shniider,RAAD,astra,196.6,1.21,82,127.8,0.71,0.44,0.02,0.08,38,34
YiHao,SN,astra,195.2,1.07,74,126.4,0.70,0.29,0.07,0.07,27,19
zunba,ONS,astra,195.1,1.15,73,128.5,0.71,0.34,0.07,0.07,29,18
