player,org,agents,rounds,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
conir,KRÜ,astra,734,277.4,1.55,85,183.4,0.97,0.30,0.15,0.08,22,13
muffinloop,VLT,astra,1083,261.8,1.30,67,165.2,0.93,0.18,0.18,0.14,31,16
Kylee,LOH,astra,477,250.5,1.21,66,158.6,0.90,0.12,0.19,0.13,41,15
ROLEX,AAA,astra,413,244.9,1.11,69,154.6,0.85,0.21,0.17,0.16,21,8
Valkie,vani,astra,266,236.7,1.09,,156.7,0.86,0.22,0.09,0.07,25,8
devilasxa,Coin,astra,248,236.6,1.13,75,153.3,0.83,0.21,0.14,0.11,31,19
Babytz,X10F,astra,1563,236.1,1.28,76,148.5,0.83,0.27,0.08,0.08,17,14
sw,Reig,astra,261,229.5,1.06,74,149.8,0.79,0.32,0.10,0.10,25,19
NaS,NASR,astra,215,228.8,0.96,67,146.9,0.74,0.34,0.09,0.11,25,22
Edw4rd,0Zer,astra,327,228.6,1.10,72,145.0,0.76,0.30,0.13,0.11,20,10
WorldEdit,Yungs,astra,2347,226.9,1.08,66,147.7,0.79,0.18,0.17,0.14,20,16
Satiqa,Impr,astra,318,226.1,1.03,67,151.3,0.75,0.23,0.13,0.13,21,18
bmblbe,BLOO,astra,229,224.0,1.11,69,148.3,0.78,0.27,0.10,0.09,30,15
JewNNN,AUR,astra,516,223.8,1.02,71,138.7,0.76,0.30,0.12,0.10,31,10
bdog,LG,astra,4170,223.0,1.19,71,142.6,0.81,0.22,0.13,0.10,22,14
Renestein,Renestein,astra,388,222.9,0.85,67,155.9,0.73,0.29,0.15,0.17,17,9
Bizerra,TBK,astra,791,221.0,1.02,76,151.9,0.75,0.30,0.10,0.09,22,9
Bobovo,Bobovo,astra,2780,220.9,1.01,67,141.3,0.78,0.20,0.15,0.14,24,11
Bad,Gods,astra,588,220.2,0.95,69,148.3,0.76,0.27,0.13,0.14,22,16
NDG,NCG,astra,483,220.1,1.09,72,141.5,0.76,0.31,0.09,0.06,19,11
Dutti,MF,astra,2460,219.8,1.03,68,143.8,0.76,0.23,0.12,0.12,27,12
Anq,M5,astra,1735,219.5,1.05,66,137.7,0.77,0.18,0.16,0.15,24,15
Kuripuuya,Futb,astra,1065,219.1,1.04,76,144.1,0.76,0.23,0.15,0.14,22,16
Fluffy,Fluffy,astra,422,218.9,1.08,,130.7,0.78,0.21,0.14,0.12,15,24
KPZET,MRS,astra,258,218.2,1.02,69,140.3,0.76,0.21,0.14,0.12,35,13
Fearay,6K,astra,290,218.2,1.03,,137.2,0.75,0.35,0.09,0.09,21,15
Syouta,CGV,astra,459,218.1,1.03,76,141.9,0.74,0.32,0.12,0.10,26,23
SoUl,RiV3R,astra,375,215.7,0.98,74,134.7,0.74,0.31,0.06,0.06,16,13
reazy,reazy,astra,1255,215.7,1.05,72,140.1,0.77,0.28,0.12,0.08,34,10
nTK,BAAM,astra,2090,215.3,1.12,73,136.9,0.76,0.22,0.13,0.11,26,14
Andrehs,PRS,astra,630,215.2,1.02,74,148.4,0.73,0.32,0.12,0.14,22,13
suerte,AIM,astra,811,215.2,0.94,68,141.2,0.74,0.17,0.15,0.15,23,12
nhapsz,LUSA,astra,306,215.1,1.05,71,137.8,0.74,0.24,0.12,0.14,15,18
Clementine,Clementine,astra,358,214.8,0.99,74,139.6,0.75,0.29,0.08,0.08,24,13
Looxie,Looxie,astra,210,214.3,1.00,67,137.0,0.80,0.23,0.11,0.10,33,13
Vania,Vania,astra,382,213.9,1.16,87,135.4,0.80,0.35,0.06,0.06,24,11
SalvoN,E9,astra,653,211.9,0.92,63,147.9,0.69,0.30,0.11,0.13,28,16
Ruxic,PRL,astra,584,211.3,1.06,75,142.0,0.75,0.30,0.07,0.08,25,20
kaajak,inco,astra,1039,211.3,1.02,68,138.5,0.75,0.20,0.12,0.12,33,13
Julia,IMT,astra,1386,210.8,1.05,72,136.1,0.75,0.17,0.13,0.11,30,13
BlackHeart,BBG.A,astra,3729,210.8,1.05,74,142.9,0.72,0.34,0.08,0.06,24,13
Lakhesis,Lakhesis,astra,279,210.7,0.96,,150.6,0.75,0.26,0.12,0.12,25,5
